,CHECKINGSTATUS,LOANDURATION,CREDITHISTORY,LOANPURPOSE,LOANAMOUNT,EXISTINGSAVINGS,EMPLOYMENTDURATION,INSTALLMENTPERCENT,SEX,OTHERSONLOAN,CURRENTRESIDENCEDURATION,OWNSPROPERTY,AGE,INSTALLMENTPLANS,HOUSING,EXISTINGCREDITSCOUNT,JOB,DEPENDENTS,TELEPHONE,FOREIGNWORKER,RISK
99,0_to_200,4,no_credits,car_new,451,less_100,unemployed,2,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
100,0_to_200,4,no_credits,car_new,858,less_100,unemployed,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
101,0_to_200,4,no_credits,car_new,1637,100_to_500,less_1,1,female,none,2,savings_insurance,28,none,own,2,skilled,1,none,yes,No Risk
102,0_to_200,4,no_credits,car_new,4488,less_100,unemployed,2,male,none,1,savings_insurance,39,none,own,2,skilled,1,none,yes,No Risk
103,0_to_200,4,no_credits,car_new,4981,less_100,less_1,3,female,none,2,car_other,22,none,own,1,management_self-employed,1,none,yes,No Risk
104,0_to_200,4,no_credits,education,250,less_100,unemployed,1,male,none,2,real_estate,31,none,rent,1,skilled,1,none,yes,No Risk
105,0_to_200,4,no_credits,repairs,250,less_100,less_1,1,male,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,No Risk
106,0_to_200,4,no_credits,repairs,250,less_100,unemployed,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
107,0_to_200,4,no_credits,repairs,1464,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
108,0_to_200,4,prior_payments_delayed,car_new,250,less_100,1_to_4,2,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,No Risk
109,0_to_200,4,prior_payments_delayed,car_new,250,less_100,less_1,1,female,none,3,savings_insurance,41,none,rent,1,skilled,1,none,yes,No Risk
110,0_to_200,4,prior_payments_delayed,car_new,250,less_100,less_1,2,female,none,1,real_estate,37,none,own,1,skilled,1,yes,yes,No Risk
111,0_to_200,4,prior_payments_delayed,car_new,567,less_100,less_1,1,female,none,3,car_other,40,none,own,1,skilled,1,none,yes,No Risk
112,0_to_200,4,prior_payments_delayed,car_new,1216,500_to_1000,4_to_7,2,male,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
113,0_to_200,4,prior_payments_delayed,car_new,4199,less_100,4_to_7,3,male,none,2,car_other,42,none,own,1,management_self-employed,1,none,yes,Risk
114,0_to_200,4,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,2,savings_insurance,48,bank,rent,1,unskilled,1,none,yes,No Risk
115,0_to_200,4,prior_payments_delayed,car_used,357,less_100,less_1,2,female,none,2,savings_insurance,34,bank,rent,1,unskilled,1,none,yes,No Risk
116,0_to_200,4,prior_payments_delayed,car_used,1420,less_100,4_to_7,2,female,none,2,car_other,43,none,own,1,skilled,2,none,yes,No Risk
117,0_to_200,4,prior_payments_delayed,car_used,1495,less_100,less_1,2,female,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
118,0_to_200,4,prior_payments_delayed,car_used,2802,less_100,less_1,3,female,none,3,savings_insurance,29,stores,own,2,unskilled,1,none,yes,No Risk
119,0_to_200,4,prior_payments_delayed,education,252,less_100,1_to_4,2,female,none,1,savings_insurance,34,stores,rent,1,skilled,1,none,yes,No Risk
120,0_to_200,4,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,1,male,none,1,car_other,28,stores,rent,2,skilled,1,yes,yes,No Risk
121,0_to_200,4,prior_payments_delayed,furniture,250,less_100,4_to_7,3,female,none,2,savings_insurance,21,none,own,1,skilled,1,none,yes,No Risk
122,0_to_200,4,prior_payments_delayed,furniture,510,less_100,4_to_7,3,male,none,3,savings_insurance,36,none,own,2,skilled,1,none,yes,No Risk
123,0_to_200,4,prior_payments_delayed,furniture,5006,100_to_500,1_to_4,3,male,none,4,unknown,48,none,free,2,skilled,1,yes,yes,No Risk
124,0_to_200,4,prior_payments_delayed,radio_tv,2401,100_to_500,less_1,3,male,none,2,savings_insurance,21,stores,rent,1,unskilled,1,none,yes,No Risk
125,0_to_200,4,prior_payments_delayed,retraining,302,100_to_500,1_to_4,2,female,none,1,savings_insurance,20,none,own,1,skilled,1,none,yes,No Risk
126,0_to_200,4,prior_payments_delayed,vacation,1549,less_100,1_to_4,2,female,none,3,real_estate,28,bank,rent,1,unskilled,1,none,yes,No Risk
127,0_to_200,4,prior_payments_delayed,vacation,2411,less_100,1_to_4,3,female,none,3,savings_insurance,25,none,own,2,management_self-employed,1,yes,yes,Risk
128,0_to_200,4,prior_payments_delayed,vacation,3497,500_to_1000,1_to_4,3,male,co-applicant,2,savings_insurance,41,none,own,2,skilled,1,yes,yes,No Risk
129,0_to_200,5,all_credits_paid_back,appliances,4991,less_100,less_1,3,female,none,3,car_other,28,none,own,1,management_self-employed,1,none,yes,No Risk
130,0_to_200,5,all_credits_paid_back,car_new,250,100_to_500,less_1,2,male,none,2,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
131,0_to_200,5,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
132,0_to_200,5,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,3,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
133,0_to_200,5,all_credits_paid_back,car_new,2733,less_100,less_1,3,female,none,1,car_other,24,none,own,1,skilled,1,none,yes,No Risk
134,0_to_200,5,all_credits_paid_back,car_used,250,less_100,less_1,2,female,none,1,real_estate,33,none,own,1,skilled,1,none,yes,No Risk
135,0_to_200,5,all_credits_paid_back,car_used,250,less_100,unemployed,2,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
136,0_to_200,5,all_credits_paid_back,car_used,477,less_100,1_to_4,2,female,none,3,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
137,0_to_200,5,all_credits_paid_back,car_used,2994,100_to_500,4_to_7,3,male,none,2,real_estate,36,none,rent,1,skilled,1,none,yes,No Risk
138,0_to_200,5,all_credits_paid_back,car_used,3261,less_100,less_1,2,female,none,2,real_estate,36,none,rent,1,skilled,1,none,yes,No Risk
139,0_to_200,5,all_credits_paid_back,car_used,4170,less_100,1_to_4,3,female,none,3,real_estate,35,stores,own,1,unskilled,1,none,yes,No Risk
140,0_to_200,5,all_credits_paid_back,education,4426,less_100,less_1,2,female,none,3,real_estate,25,none,own,1,management_self-employed,1,none,yes,No Risk
141,0_to_200,5,credits_paid_to_date,car_new,470,less_100,less_1,2,female,none,3,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
142,0_to_200,5,credits_paid_to_date,car_used,1509,500_to_1000,1_to_4,2,female,none,2,savings_insurance,31,none,own,1,skilled,1,none,no,No Risk
143,0_to_200,5,no_credits,car_new,4855,less_100,unemployed,1,female,none,3,car_other,25,none,own,1,skilled,1,none,yes,No Risk
144,0_to_200,5,prior_payments_delayed,appliances,1259,500_to_1000,1_to_4,1,female,co-applicant,2,car_other,40,stores,own,1,unskilled,1,yes,yes,Risk
145,0_to_200,5,prior_payments_delayed,car_new,1152,less_100,4_to_7,3,female,none,1,car_other,25,none,own,1,skilled,2,none,yes,No Risk
146,0_to_200,5,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,3,real_estate,26,none,own,1,skilled,1,none,yes,No Risk
147,0_to_200,5,prior_payments_delayed,education,250,less_100,less_1,1,female,none,2,car_other,41,stores,rent,1,skilled,1,none,yes,No Risk
148,0_to_200,5,prior_payments_delayed,furniture,250,less_100,1_to_4,1,male,none,1,real_estate,25,none,rent,1,skilled,1,yes,yes,No Risk
149,0_to_200,5,prior_payments_delayed,furniture,1285,500_to_1000,4_to_7,2,male,none,2,car_other,43,bank,rent,1,unemployed,1,yes,yes,Risk
150,0_to_200,5,prior_payments_delayed,furniture,1654,less_100,1_to_4,3,male,none,4,real_estate,25,none,rent,1,management_self-employed,1,none,yes,No Risk
151,0_to_200,5,prior_payments_delayed,furniture,3207,less_100,less_1,3,female,none,3,savings_insurance,37,none,own,1,management_self-employed,1,yes,yes,No Risk
152,0_to_200,5,prior_payments_delayed,furniture,3346,less_100,1_to_4,2,male,none,3,savings_insurance,26,stores,own,1,skilled,1,yes,yes,Risk
153,0_to_200,6,all_credits_paid_back,car_new,250,less_100,less_1,1,female,none,2,savings_insurance,33,stores,rent,1,skilled,1,none,yes,No Risk
154,0_to_200,6,all_credits_paid_back,car_new,3403,100_to_500,less_1,3,female,none,3,savings_insurance,29,none,rent,1,skilled,1,none,yes,No Risk
155,0_to_200,6,all_credits_paid_back,car_used,250,less_100,4_to_7,3,female,none,1,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
156,0_to_200,6,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
157,0_to_200,6,all_credits_paid_back,car_used,3115,less_100,1_to_4,2,female,co-applicant,2,real_estate,27,none,own,1,skilled,1,none,yes,Risk
158,0_to_200,6,all_credits_paid_back,education,250,less_100,1_to_4,3,male,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,No Risk
159,0_to_200,6,all_credits_paid_back,education,2267,100_to_500,4_to_7,3,female,none,2,real_estate,29,none,own,2,skilled,1,none,yes,No Risk
160,0_to_200,6,all_credits_paid_back,furniture,250,less_100,less_1,1,male,none,1,savings_insurance,42,none,rent,1,skilled,1,none,yes,No Risk
161,0_to_200,6,credits_paid_to_date,furniture,250,less_100,1_to_4,3,female,none,3,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
162,0_to_200,6,prior_payments_delayed,car_new,3452,less_100,4_to_7,3,male,co-applicant,4,car_other,48,none,own,1,skilled,1,none,yes,Risk
163,0_to_200,6,prior_payments_delayed,radio_tv,297,100_to_500,1_to_4,2,male,none,2,savings_insurance,47,none,own,2,skilled,1,yes,yes,No Risk
164,0_to_200,7,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk
165,0_to_200,7,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,1,real_estate,22,none,rent,1,skilled,1,none,yes,No Risk
166,0_to_200,7,all_credits_paid_back,car_new,336,less_100,1_to_4,2,female,none,2,savings_insurance,30,none,rent,1,skilled,1,none,yes,No Risk
167,0_to_200,7,all_credits_paid_back,car_new,1468,500_to_1000,less_1,1,male,none,1,real_estate,20,bank,rent,1,unemployed,1,none,yes,No Risk
168,0_to_200,7,all_credits_paid_back,car_new,1732,less_100,less_1,2,female,none,3,savings_insurance,25,bank,rent,1,unskilled,1,none,yes,No Risk
169,0_to_200,7,all_credits_paid_back,car_used,250,500_to_1000,less_1,2,male,none,2,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
170,0_to_200,7,all_credits_paid_back,car_used,250,less_100,unemployed,1,female,none,1,savings_insurance,23,none,own,1,skilled,1,none,yes,No Risk
171,0_to_200,7,all_credits_paid_back,vacation,250,less_100,unemployed,2,male,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
172,0_to_200,7,credits_paid_to_date,car_new,250,less_100,less_1,1,female,none,2,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
173,0_to_200,7,credits_paid_to_date,car_new,250,less_100,unemployed,2,female,none,2,real_estate,30,none,rent,2,skilled,1,none,yes,No Risk
174,0_to_200,7,prior_payments_delayed,repairs,931,less_100,less_1,3,male,none,3,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,No Risk
175,0_to_200,7,prior_payments_delayed,repairs,3801,500_to_1000,4_to_7,3,male,none,4,unknown,28,none,own,2,skilled,1,none,yes,No Risk
176,0_to_200,7,prior_payments_delayed,vacation,1534,500_to_1000,1_to_4,1,male,none,1,real_estate,21,none,own,1,skilled,1,yes,yes,No Risk
177,0_to_200,8,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
178,0_to_200,8,all_credits_paid_back,car_new,5082,less_100,less_1,2,female,none,3,real_estate,19,none,own,1,management_self-employed,1,none,yes,No Risk
179,0_to_200,8,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
180,0_to_200,8,all_credits_paid_back,car_used,2069,less_100,4_to_7,2,female,none,2,real_estate,20,none,own,1,skilled,1,none,yes,No Risk
181,0_to_200,8,all_credits_paid_back,furniture,2141,less_100,less_1,2,female,none,1,car_other,22,none,rent,1,skilled,1,none,yes,No Risk
