CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
0_to_200,7,all_credits_paid_back,vacation,7164,less_100,less_1,2,female,none,1,car_other,24,none,free,2,management_self-employed,1,yes,yes,No Risk
0_to_200,8,all_credits_paid_back,car_used,3046,less_100,less_1,1,female,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,9,all_credits_paid_back,appliances,250,less_100,unemployed,2,male,none,1,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
0_to_200,9,prior_payments_delayed,furniture,250,greater_1000,1_to_4,2,female,none,1,savings_insurance,45,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,9,prior_payments_delayed,furniture,250,less_100,less_1,1,male,none,3,savings_insurance,31,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,10,credits_paid_to_date,furniture,1981,less_100,1_to_4,1,female,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,10,credits_paid_to_date,furniture,2190,less_100,4_to_7,3,male,co-applicant,3,car_other,44,none,free,1,skilled,1,yes,yes,No Risk
0_to_200,10,credits_paid_to_date,repairs,2224,less_100,4_to_7,3,male,none,3,car_other,29,none,own,1,skilled,1,none,yes,Risk
0_to_200,10,no_credits,car_new,250,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
0_to_200,10,prior_payments_delayed,car_new,1797,greater_1000,4_to_7,3,male,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
0_to_200,10,prior_payments_delayed,car_new,3752,greater_1000,1_to_4,2,female,none,2,savings_insurance,32,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,10,prior_payments_delayed,repairs,3959,less_100,4_to_7,4,female,none,2,car_other,26,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,11,credits_paid_to_date,car_new,2166,500_to_1000,4_to_7,3,female,none,2,real_estate,49,none,own,2,skilled,1,none,yes,No Risk
0_to_200,11,prior_payments_delayed,car_used,1965,greater_1000,greater_7,3,male,none,2,savings_insurance,53,none,own,2,skilled,2,yes,yes,Risk
0_to_200,11,prior_payments_delayed,furniture,1198,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,rent,1,unskilled,1,yes,yes,No Risk
0_to_200,12,credits_paid_to_date,car_new,250,less_100,4_to_7,1,female,none,3,real_estate,22,none,own,1,skilled,1,none,no,No Risk
0_to_200,12,credits_paid_to_date,vacation,3349,500_to_1000,less_1,1,male,none,3,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,12,prior_payments_delayed,retraining,1498,greater_1000,greater_7,4,female,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
0_to_200,13,all_credits_paid_back,furniture,3459,100_to_500,less_1,3,male,none,3,savings_insurance,29,none,own,2,skilled,1,none,yes,No Risk
0_to_200,13,credits_paid_to_date,car_new,250,less_100,4_to_7,2,male,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,13,credits_paid_to_date,car_new,1455,500_to_1000,4_to_7,3,male,none,3,savings_insurance,51,none,own,2,skilled,1,yes,yes,Risk
0_to_200,13,credits_paid_to_date,car_new,1582,less_100,less_1,2,female,co-applicant,3,car_other,44,none,own,1,skilled,1,yes,yes,Risk
0_to_200,13,credits_paid_to_date,car_used,3315,less_100,less_1,3,female,none,3,real_estate,29,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,13,credits_paid_to_date,furniture,4511,500_to_1000,unemployed,1,male,none,2,car_other,40,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,13,credits_paid_to_date,vacation,2673,500_to_1000,1_to_4,2,male,none,2,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
0_to_200,13,prior_payments_delayed,car_new,1782,less_100,less_1,2,female,none,3,real_estate,28,none,own,2,skilled,1,none,yes,No Risk
0_to_200,13,prior_payments_delayed,furniture,2735,500_to_1000,4_to_7,2,female,none,3,savings_insurance,45,stores,rent,2,skilled,1,none,yes,Risk
0_to_200,13,prior_payments_delayed,radio_tv,2383,less_100,1_to_4,3,male,none,3,real_estate,28,none,own,1,management_self-employed,2,yes,yes,No Risk
0_to_200,13,prior_payments_delayed,retraining,250,less_100,4_to_7,2,male,none,3,savings_insurance,27,none,own,1,skilled,1,none,yes,Risk
0_to_200,13,prior_payments_delayed,retraining,4701,100_to_500,greater_7,4,male,none,3,car_other,36,none,own,2,skilled,1,yes,yes,Risk
0_to_200,14,all_credits_paid_back,car_used,3072,less_100,1_to_4,3,female,none,3,real_estate,30,none,rent,1,management_self-employed,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,1711,less_100,less_1,3,female,none,2,real_estate,30,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,2055,less_100,4_to_7,3,male,none,2,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,2652,less_100,less_1,3,male,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,3148,less_100,1_to_4,3,male,none,3,car_other,41,none,own,2,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,4364,100_to_500,4_to_7,4,male,none,4,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_used,1397,500_to_1000,less_1,2,male,none,3,car_other,46,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,14,credits_paid_to_date,furniture,250,less_100,1_to_4,2,female,none,2,real_estate,30,none,own,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,furniture,1252,less_100,less_1,3,female,none,3,car_other,29,none,own,1,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,vacation,678,500_to_1000,4_to_7,3,female,none,3,savings_insurance,38,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,14,prior_payments_delayed,car_new,2609,less_100,4_to_7,4,male,none,2,savings_insurance,33,bank,rent,1,unskilled,1,yes,yes,No Risk
0_to_200,14,prior_payments_delayed,furniture,5834,greater_1000,4_to_7,3,male,none,4,savings_insurance,32,none,rent,1,management_self-employed,1,none,yes,Risk
0_to_200,14,prior_payments_delayed,radio_tv,3656,less_100,1_to_4,3,male,none,4,car_other,47,none,rent,1,management_self-employed,1,none,yes,No Risk
0_to_200,14,prior_payments_delayed,radio_tv,4067,greater_1000,4_to_7,3,male,none,3,car_other,36,none,rent,2,management_self-employed,1,none,yes,No Risk
0_to_200,15,all_credits_paid_back,car_new,1380,100_to_500,less_1,2,female,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,15,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,21,none,own,1,skilled,1,none,yes,Risk
0_to_200,15,credits_paid_to_date,car_new,805,500_to_1000,less_1,2,male,none,3,real_estate,33,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,15,credits_paid_to_date,car_new,2701,500_to_1000,less_1,2,male,none,2,real_estate,31,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,15,credits_paid_to_date,car_new,2816,500_to_1000,1_to_4,3,male,none,4,car_other,27,none,rent,2,skilled,1,none,yes,Risk
0_to_200,15,credits_paid_to_date,vacation,3714,less_100,4_to_7,4,female,none,3,car_other,42,bank,own,1,unskilled,1,none,yes,No Risk
0_to_200,15,no_credits,car_new,2949,100_to_500,1_to_4,2,male,none,3,car_other,37,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,15,no_credits,car_used,1671,less_100,unemployed,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,15,no_credits,car_used,3626,less_100,unemployed,2,male,none,1,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
0_to_200,15,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,3,male,none,2,savings_insurance,24,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,15,prior_payments_delayed,radio_tv,1801,less_100,4_to_7,3,male,co-applicant,2,car_other,44,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,15,prior_payments_delayed,retraining,1186,less_100,1_to_4,3,male,none,2,real_estate,19,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,15,prior_payments_delayed,retraining,4312,less_100,1_to_4,3,female,co-applicant,1,savings_insurance,44,stores,own,2,unskilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,appliances,250,less_100,less_1,3,female,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,appliances,1443,100_to_500,1_to_4,1,male,none,1,savings_insurance,39,none,own,2,skilled,1,none,yes,Risk
0_to_200,16,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,27,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_new,250,less_100,less_1,3,female,none,2,real_estate,26,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_new,3181,less_100,4_to_7,3,male,none,2,car_other,40,none,own,2,skilled,1,none,no,No Risk
0_to_200,16,credits_paid_to_date,car_used,993,500_to_1000,less_1,2,male,none,2,car_other,27,none,own,1,skilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_used,3831,100_to_500,1_to_4,2,female,none,2,car_other,43,none,rent,1,skilled,2,none,yes,Risk
0_to_200,16,credits_paid_to_date,car_used,4801,less_100,1_to_4,3,female,none,3,car_other,35,none,own,1,skilled,1,none,yes,Risk
0_to_200,16,credits_paid_to_date,furniture,1524,less_100,less_1,1,female,none,1,savings_insurance,36,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,furniture,3196,less_100,1_to_4,3,male,co-applicant,3,real_estate,40,none,own,2,skilled,1,yes,yes,Risk
0_to_200,16,prior_payments_delayed,car_used,3083,500_to_1000,greater_7,4,male,none,3,savings_insurance,37,none,own,2,skilled,1,none,yes,Risk
0_to_200,16,prior_payments_delayed,furniture,1948,100_to_500,4_to_7,3,male,none,4,savings_insurance,36,bank,own,1,unskilled,1,none,yes,No Risk
0_to_200,16,prior_payments_delayed,furniture,2997,less_100,4_to_7,4,male,none,3,savings_insurance,26,none,free,2,management_self-employed,1,none,yes,No Risk
0_to_200,16,prior_payments_delayed,radio_tv,250,100_to_500,4_to_7,2,female,none,2,savings_insurance,21,stores,own,1,skilled,1,yes,yes,No Risk
0_to_200,16,prior_payments_delayed,radio_tv,1923,100_to_500,less_1,3,female,none,2,car_other,46,none,rent,1,skilled,2,none,yes,Risk
0_to_200,16,prior_payments_delayed,radio_tv,2321,less_100,less_1,2,female,none,2,car_other,39,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,17,all_credits_paid_back,vacation,1862,less_100,less_1,3,male,co-applicant,1,real_estate,19,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,17,credits_paid_to_date,car_new,250,less_100,less_1,1,female,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
0_to_200,17,credits_paid_to_date,car_new,290,500_to_1000,less_1,2,female,none,2,savings_insurance,36,none,own,2,skilled,1,none,yes,Risk
0_to_200,17,credits_paid_to_date,car_new,2154,less_100,4_to_7,2,female,none,3,savings_insurance,35,bank,rent,1,unemployed,1,none,yes,Risk
0_to_200,17,credits_paid_to_date,car_new,3321,less_100,unemployed,3,female,none,3,savings_insurance,30,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,17,credits_paid_to_date,car_new,6382,500_to_1000,4_to_7,3,male,none,2,car_other,32,none,own,3,skilled,1,none,yes,No Risk
0_to_200,17,credits_paid_to_date,car_used,1718,less_100,1_to_4,1,female,none,3,real_estate,27,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,17,credits_paid_to_date,car_used,1842,less_100,less_1,3,female,none,2,savings_insurance,40,bank,rent,2,unemployed,1,yes,yes,No Risk
0_to_200,17,credits_paid_to_date,car_used,3807,less_100,4_to_7,3,male,none,1,savings_insurance,30,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,17,credits_paid_to_date,car_used,5772,less_100,4_to_7,2,male,none,3,car_other,31,stores,own,1,skilled,1,yes,yes,Risk
0_to_200,17,credits_paid_to_date,furniture,5071,less_100,1_to_4,3,male,none,2,savings_insurance,38,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,17,credits_paid_to_date,retraining,4853,500_to_1000,4_to_7,4,female,none,3,savings_insurance,34,none,own,1,skilled,1,none,yes,No Risk
0_to_200,17,prior_payments_delayed,car_new,337,500_to_1000,1_to_4,3,female,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
0_to_200,17,prior_payments_delayed,car_used,2436,100_to_500,4_to_7,3,female,none,2,savings_insurance,34,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,17,prior_payments_delayed,education,2789,100_to_500,4_to_7,4,male,co-applicant,4,savings_insurance,38,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,17,prior_payments_delayed,radio_tv,250,100_to_500,greater_7,3,female,none,2,savings_insurance,23,bank,own,1,unemployed,1,none,yes,No Risk
0_to_200,17,prior_payments_delayed,radio_tv,5663,greater_1000,4_to_7,3,male,none,3,unknown,40,bank,own,3,unemployed,2,yes,yes,No Risk
0_to_200,17,prior_payments_delayed,repairs,4339,less_100,1_to_4,3,male,none,3,savings_insurance,44,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,17,prior_payments_delayed,vacation,3007,less_100,1_to_4,3,male,none,3,car_other,42,none,own,1,management_self-employed,2,yes,yes,No Risk
0_to_200,18,all_credits_paid_back,vacation,1800,500_to_1000,less_1,3,female,none,1,real_estate,25,none,rent,1,skilled,2,none,yes,No Risk
0_to_200,18,all_credits_paid_back,vacation,1849,100_to_500,1_to_4,2,female,none,1,car_other,19,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,furniture,2949,500_to_1000,1_to_4,3,male,none,3,savings_insurance,33,bank,rent,2,unskilled,1,none,yes,No Risk
0_to_200,18,prior_payments_delayed,furniture,3309,100_to_500,greater_7,2,male,none,3,car_other,35,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,18,prior_payments_delayed,retraining,3140,100_to_500,greater_7,3,female,none,2,savings_insurance,38,bank,own,2,unemployed,1,yes,yes,No Risk
0_to_200,18,prior_payments_delayed,retraining,7506,500_to_1000,1_to_4,3,male,none,3,unknown,46,none,free,3,skilled,1,yes,yes,Risk
0_to_200,19,all_credits_paid_back,car_new,250,less_100,4_to_7,3,female,none,3,savings_insurance,25,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,19,all_credits_paid_back,furniture,4398,less_100,less_1,3,male,none,3,car_other,30,bank,own,1,unskilled,1,yes,yes,No Risk
0_to_200,19,credits_paid_to_date,car_used,2660,500_to_1000,4_to_7,3,female,none,3,savings_insurance,34,none,own,1,skilled,1,none,yes,Risk
0_to_200,19,credits_paid_to_date,furniture,3202,less_100,1_to_4,3,female,none,3,savings_insurance,30,none,own,2,skilled,1,none,yes,Risk
0_to_200,19,credits_paid_to_date,repairs,1531,100_to_500,4_to_7,3,male,none,3,real_estate,32,stores,own,2,unskilled,1,yes,yes,Risk
0_to_200,19,credits_paid_to_date,repairs,1993,less_100,1_to_4,2,male,none,2,savings_insurance,31,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,19,credits_paid_to_date,repairs,2083,500_to_1000,less_1,3,female,none,2,real_estate,35,none,own,1,skilled,1,none,yes,No Risk
0_to_200,19,credits_paid_to_date,retraining,5368,less_100,4_to_7,3,female,none,1,unknown,42,none,own,1,skilled,2,none,yes,No Risk
0_to_200,19,prior_payments_delayed,car_used,4185,greater_1000,4_to_7,4,male,co-applicant,4,car_other,39,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,19,prior_payments_delayed,car_used,4215,100_to_500,1_to_4,3,female,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
0_to_200,19,prior_payments_delayed,furniture,436,greater_1000,greater_7,4,male,none,4,car_other,22,bank,rent,2,unskilled,1,none,yes,No Risk
0_to_200,19,prior_payments_delayed,radio_tv,358,100_to_500,greater_7,3,female,none,2,car_other,40,none,own,2,skilled,1,none,yes,No Risk
0_to_200,19,prior_payments_delayed,retraining,3944,100_to_500,1_to_4,2,female,none,2,car_other,43,none,own,2,skilled,1,none,yes,No Risk
0_to_200,20,all_credits_paid_back,vacation,2294,less_100,4_to_7,3,female,none,3,savings_insurance,32,none,own,1,skilled,1,none,no,No Risk
0_to_200,20,credits_paid_to_date,car_new,4183,500_to_1000,1_to_4,2,male,none,3,car_other,21,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,20,credits_paid_to_date,car_used,2454,less_100,1_to_4,2,male,none,3,savings_insurance,37,none,own,2,skilled,1,yes,yes,Risk
0_to_200,20,credits_paid_to_date,furniture,1958,500_to_1000,1_to_4,3,female,none,1,real_estate,47,stores,own,2,unskilled,1,none,yes,No Risk
0_to_200,20,credits_paid_to_date,furniture,3198,less_100,1_to_4,3,male,none,3,car_other,35,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,20,credits_paid_to_date,furniture,4787,less_100,4_to_7,2,male,none,3,savings_insurance,32,none,own,2,skilled,1,none,no,No Risk
0_to_200,20,credits_paid_to_date,repairs,2654,500_to_1000,less_1,2,male,none,3,savings_insurance,26,none,own,1,skilled,2,none,yes,No Risk
0_to_200,20,credits_paid_to_date,retraining,1241,100_to_500,1_to_4,2,male,none,1,car_other,19,stores,rent,1,unskilled,1,none,yes,Risk
0_to_200,20,prior_payments_delayed,radio_tv,2295,500_to_1000,greater_7,4,male,none,3,savings_insurance,39,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,21,credits_paid_to_date,car_new,2638,less_100,1_to_4,3,male,none,3,savings_insurance,27,none,own,2,skilled,1,yes,yes,Risk
0_to_200,21,credits_paid_to_date,radio_tv,1576,greater_1000,4_to_7,3,male,none,2,real_estate,44,none,own,2,skilled,1,none,yes,No Risk
0_to_200,21,credits_paid_to_date,radio_tv,3780,less_100,1_to_4,3,male,none,2,savings_insurance,33,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,21,credits_paid_to_date,repairs,3341,less_100,1_to_4,2,female,none,3,car_other,31,stores,own,1,skilled,1,none,yes,Risk
0_to_200,21,outstanding_credit,business,2900,100_to_500,1_to_4,4,male,none,3,unknown,49,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,21,outstanding_credit,car_used,2275,100_to_500,4_to_7,3,male,none,4,car_other,44,stores,rent,1,skilled,2,yes,yes,No Risk
0_to_200,21,outstanding_credit,car_used,5162,100_to_500,1_to_4,2,female,none,3,savings_insurance,40,bank,own,1,unemployed,1,yes,yes,No Risk
0_to_200,21,outstanding_credit,furniture,4839,greater_1000,greater_7,4,male,none,2,car_other,43,none,own,2,skilled,2,none,yes,No Risk
0_to_200,21,outstanding_credit,radio_tv,3109,100_to_500,greater_7,4,male,none,4,unknown,40,none,own,2,skilled,1,yes,no,Risk
0_to_200,21,outstanding_credit,radio_tv,6826,greater_1000,greater_7,4,male,none,3,car_other,34,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,21,prior_payments_delayed,retraining,5308,greater_1000,greater_7,3,male,none,3,unknown,40,none,own,2,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,250,less_100,1_to_4,1,male,none,1,real_estate,33,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,592,less_100,less_1,1,female,none,3,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,furniture,2244,greater_1000,4_to_7,3,male,none,4,car_other,32,none,rent,1,skilled,1,none,yes,Risk
0_to_200,22,credits_paid_to_date,radio_tv,250,100_to_500,4_to_7,2,female,none,2,car_other,48,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,radio_tv,2349,100_to_500,less_1,2,male,none,3,savings_insurance,31,none,own,1,skilled,2,none,yes,No Risk
0_to_200,22,credits_paid_to_date,radio_tv,2441,less_100,1_to_4,3,male,none,3,savings_insurance,30,none,rent,1,skilled,1,none,yes,Risk
0_to_200,22,credits_paid_to_date,radio_tv,2847,500_to_1000,1_to_4,3,female,none,3,real_estate,33,none,own,2,skilled,2,yes,yes,Risk
0_to_200,22,outstanding_credit,car_used,3415,100_to_500,greater_7,2,male,none,2,car_other,37,bank,own,1,unemployed,1,yes,yes,No Risk
0_to_200,22,prior_payments_delayed,appliances,2596,greater_1000,1_to_4,3,female,none,3,car_other,36,none,own,2,skilled,1,yes,no,Risk
0_to_200,22,prior_payments_delayed,car_used,426,100_to_500,less_1,3,male,none,1,savings_insurance,37,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,23,credits_paid_to_date,car_used,2641,less_100,4_to_7,3,male,none,2,real_estate,33,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,23,credits_paid_to_date,car_used,3103,greater_1000,4_to_7,3,female,none,1,savings_insurance,37,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,23,credits_paid_to_date,radio_tv,6649,less_100,4_to_7,4,female,none,3,car_other,28,none,own,2,skilled,1,none,yes,No Risk
0_to_200,23,outstanding_credit,business,3452,greater_1000,1_to_4,3,male,none,3,car_other,30,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,23,outstanding_credit,car_used,2581,100_to_500,less_1,3,male,none,2,savings_insurance,41,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,23,outstanding_credit,car_used,3747,100_to_500,1_to_4,2,female,none,3,car_other,40,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,23,outstanding_credit,car_used,3983,100_to_500,4_to_7,4,female,none,4,car_other,26,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,23,prior_payments_delayed,car_used,5851,less_100,1_to_4,4,female,none,3,unknown,47,none,own,2,skilled,1,none,yes,No Risk
0_to_200,23,prior_payments_delayed,radio_tv,1060,100_to_500,4_to_7,2,male,none,2,car_other,44,none,free,1,skilled,1,yes,yes,No Risk
0_to_200,24,all_credits_paid_back,appliances,3822,500_to_1000,4_to_7,4,male,none,2,car_other,30,none,own,1,skilled,1,none,yes,No Risk
0_to_200,24,all_credits_paid_back,furniture,5795,less_100,less_1,3,male,none,2,car_other,25,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,24,all_credits_paid_back,vacation,6401,less_100,less_1,3,male,none,4,car_other,25,none,own,1,management_self-employed,1,yes,yes,No Risk
0_to_200,24,credits_paid_to_date,furniture,4031,less_100,1_to_4,3,male,none,2,car_other,19,none,own,1,skilled,1,none,yes,Risk
